scata	Taxon	Sci_Name	Rank	mock	Kingdom	Phylum	Subphylum	Class	Order	Family	Genus	Species	abbrev	taxon_notes	guild	emf	primary_lifestyle_phylum	Decay_type	Decay_Lifestyle	guild_notes	reference
scata4703_15	Syzygospora_effibulata	Syzygospora_effibulata	16	FALSE	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Filobasidiales	Filobasidiaceae	Syzygospora	effibulata			moulds and yeasts	0	moulds and yeasts	other	mycoparasite_basidiomycetes	linked to specimens with Gymnopilus dryophilus	SH1529822.08FU_410.2_Syzygospora effibulata_98.40
scata4703_7	Sistotrema_sp	Sistotrema_sp2	17	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Cantharellales	Cantharellales family incertae sedis	Sistotrema	sp.			saprotrophs other	0	litter saprotrophic basidiomycota	other	litter_basidiomycetes	Lindahl et al 2007 coniferous litter	SH1538506.08FU_264.2_Sistotrema autumnale_82.86
scata4703_11	Lophodermium_pinastri	Lophodermium_pinastri	18	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Rhytismatales	Rhytismataceae	Lophodermium	pinastri			saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes	Lindahl et al 2007 coniferous litter	SH1588036.08FU_411.9_Lophodermium pinastri_100
scata4703_27	Mollisia_cinerea	Mollisia_cinerea	19	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Mollisiaceae	Mollisea	cinerea			saprotrophs other	0	other root-associates ascomycota	other	soil_saprotroph_ascomycetes	Lindahl et al 2007 moss litter	SH2702991.08FU_411.9_Mollisia cinerea_100
scata4703_16	Rhytismataceae_sp	Rhytismataceae_sp1	20	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Rhytismatales	Rhytismataceae	Lophodermium	sp.		Johnston et al 2019	saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes	Lindahl et al 2007 coniferous litter	SH1588045.08FU_332.9_Lophodermium pinastri_93.36
scata4703_21	Athelia_bombacina	Athelia_bombacina	21	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Atheliales	Atheliaceae	Athelia	bombacina			moulds and yeasts	0	moulds and yeasts	other	lichen_parasite_basidiomycetes		SH1561288.08FU_441.1_Athelia_100
scata4703_22	Infundichalara_minuta	Infundichalara_minuta	22	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis		Infundichalara	minuta			saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes		SH1522516.08FU_413.6 _Infundichalara minuta_100
scata4703_28	Serendipitaceae_sp	Serendipitaceae_sp1	23	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Sebicanales	Serendipitaceae	Serendipita				ericoid mycorrhizas	0	other root-associated basidiomycota	other	root_basidiomycetes	put. ericoid	SH1542773.08FU_125.2_Sebacina_74.43
scata4703_20	Cenangiaceae_sp	Cenangiaceae_sp1	24	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Cenangiaceae	Cenangiaceae			Johnston et al 2019	saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes	Koukol et al 2011 & Lindahl et al 2007 coniferous litter	SH1574146.08FU_413.6_Vestigium_100
scata4703_29	Xenochalara_juniperi	Xenochalara_juniperi	25	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Dermataceae	Xenochalara				saprotrophs other	0	other root-associated ascomycota	other	litter_ascomycetes	put. ericoid?	SH1522504.08FU_411.9_Xenochalara_100
